frame,timestamp,car_id,car_center,x1,y1,x2,y2,movement,fps
2,1764848859.62,1,"(141, 887)",8,825,274,949,0.0,2.72
3,1764848860.04,1,"(141, 887)",8,825,274,949,0.0,2.62
4,1764848860.41,1,"(141, 887)",8,826,274,949,0.0,2.7
5,1764848860.81,1,"(141, 887)",8,826,274,949,0.0,2.68
6,1764848861.25,1,"(141, 887)",8,825,274,949,0.0,2.62
7,1764848861.65,1,"(142, 887)",9,825,275,949,0.2,2.63
8,1764848862.05,1,"(142, 887)",10,826,275,949,0.2,2.64
9,1764848862.43,1,"(142, 887)",10,826,274,949,0.2,2.66
10,1764848862.82,1,"(142, 887)",10,826,274,949,0.2,2.67
11,1764848863.18,1,"(142, 887)",10,826,274,948,0.2,2.7
12,1764848863.55,1,"(142, 887)",10,826,274,948,0.0,2.71
13,1764848863.9,1,"(142, 886)",10,825,275,948,0.2,2.76
14,1764848864.57,1,"(142, 886)",10,825,275,948,0.2,2.76
15,1764848864.95,1,"(143, 886)",10,824,276,948,0.4,2.78
16,1764848865.31,1,"(142, 885)",10,824,275,947,0.68,2.83
16,1764848865.31,3,"(212, 732)",100,681,325,783,0.0,2.84
17,1764848865.81,1,"(143, 885)",10,824,276,947,0.88,2.82
17,1764848865.81,3,"(213, 731)",100,680,326,783,0.71,2.77
18,1764848866.22,1,"(143, 885)",10,824,276,947,0.68,2.76
18,1764848866.22,3,"(214, 731)",101,680,327,783,0.8,2.72
19,1764848866.63,1,"(143, 885)",10,824,276,947,0.68,2.69
19,1764848866.63,3,"(214, 731)",101,680,327,783,0.6,2.66
20,1764848867.03,1,"(143, 885)",10,824,276,947,0.48,2.63
20,1764848867.03,3,"(214, 731)",101,680,328,783,0.48,2.61
21,1764848867.43,1,"(142, 885)",10,824,275,947,0.4,2.6
21,1764848867.43,3,"(214, 731)",101,680,328,783,0.48,2.58
22,1764848867.83,1,"(142, 886)",10,825,274,947,0.4,2.6
22,1764848867.83,3,"(215, 731)",102,680,329,783,0.4,2.62
23,1764848868.23,1,"(141, 886)",9,825,274,947,0.6,2.63
23,1764848868.23,3,"(215, 731)",102,679,329,783,0.2,2.65
24,1764848868.6,1,"(141, 886)",8,825,274,948,0.6,2.67
24,1764848868.6,3,"(216, 731)",102,679,330,783,0.4,2.7
25,1764848868.97,1,"(141, 886)",8,825,274,948,0.6,2.72
25,1764848868.97,3,"(211, 732)",100,682,322,783,1.42,2.75
